Id,InitScript,ApplyScript,ClearScript,ReducePerTurn,ReducePerAttacked,ReducePerUse,UpperBound,Icon,Type,Rarity,Effects,SoundEffects,Action
BlessedByHeaven,,"AddEvent(""StartRound"",()=>
        {
            SetStatus(""Self"");
            AddBuff(DataId.buff_evergreen,  (Self.MaxHp/20).ToString());
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
FortuneBoy,,"Vars[""ThisCount""] = ""0"";
        Vars[""SpecialCount""] = ""0"";
        AddEvent<HurtData>(""Hurt"",(data =>
        {
            if (data.damageType == ""Normal"")
            {
                Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""]) + 1).ToString();
                if (int.Parse(Vars[""ThisCount""])>10+int.Parse(Vars[""SpecialCount""]))
                {
                    return;
                }
                SetStatusById(data.SourceId);
                ChangeMoney(""5"");
                SetStatus(""Self"");
                ChangeDefence((int.Parse(data.val) / 2).ToString());
            }
            else
            {
                Vars[""SpecialCount""] = (int.Parse(Vars[""SpecialCount""]) + 1).ToString();
                SetStatus(""Self"");
                ChangeHp((Self.MaxHp/20).ToString());
            }
        }));",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Mimics,,"AddEvent<HurtData>(""Hurt"",(data =>
        {
            if (data.damageType == ""Normal"")
            {
                SetStatusById(data.SourceId);
                int a = DefaultDice.Roll().Value;
                if (a < 50)
                {
                    ChangePower(""1"");
                }
                else
                {
                    DrawCount(""1"");
                }
            }
        }));",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Restrain,,"Vars[""ThisCount""] = ""0"";
        AddEvent(""Attack"", () =>
        {
            SetStatus(""AllTarget"");
            if (Vars[""ThisCount""] == ""0"")
            {
                Vars[""ThisCount""] = ""1"";
                ChangeDynamicVarPercent(""HealMultiplier"", ""-20"");
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Irritable,,"AddEvent(""StartRound"",()=> {

            AddBuff(DataId.buff_extraordinary,  ""10"");
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Hysteresis,,"AddEvent(""StartRound"", () => { SetStatus(""AllTarget"");
        
        AddCard(DataId.cursecard_11);});",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
CalamityIncarnates,,"Vars[""ThisCount""] = PlayerInfo.SpecialVars[""DoomPower""];
         PlayerInfo.TempStrength +=  int.Parse(PlayerInfo.SpecialVars[""DoomPower""]);
        PlayerInfo.TempPerceive +=  int.Parse(PlayerInfo.SpecialVars[""DoomPower""]);
        AddEvent(""Action"",()=> { SetStatus(""AllTarget"");Damage((Self.MaxHp/50).ToString()); });","PlayerInfo.TempStrength -=  int.Parse(Vars[""ThisCount""]);
        PlayerInfo.TempPerceive -=  int.Parse(Vars[""ThisCount""]);
        SetStatus(""Self"");
        ChangeCareer(""career_2"");",1,0,0,1,Icon/Buff/烬赎,指示物,4,,,
GiantDollBear,,"Self.DamageFilter[DataId.buff_bleeding] = 100f;
        AddEvent<HurtData>(""Hurt"", (data=>
        {
            if (data.fromDataId == DataId.buff_burn)
            {
                Damage(data.val, ""True"");
            }
        }));
        AddEvent(""StartRound"", () =>
        {
            if (Vars[""ThisCount""]==""0"")
            {
                ChangeRound();
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
WitchCultists,,"AddEvent(""FightStart"",()=> {
                RandomAddBuff(""5"");
              });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Crow,,"SetStatus(""AllFriends"");
        AddEvent(""AttackDone"",()=> { SetStatus(""AllTarget"");Damage(""3"",""True""); });",,0,0,0,2,Icon/Buff/烬赎,指示物,4,,,
biologicalInstinct,,"AddEvent(""StartRound"", () => { Vars[""ThisCount""] = ""0"";
        Self.Defend=0; });
        AddEvent(""Hurt"", () =>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
                ChangeDefence(Vars[""ThisCount""]);
         
        });",,0,0,0,1,Icon/Buff/伺机,指示物,4,,,
AdvancedWoodenStakes,," Vars[""ThisCount""] = ""0"";
        AddEvent<HurtData>(""Hurt"",(thisData) => {
       if (thisData.fromDataId==DataId.card_1)
       {
         Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
                if (int.Parse(Vars[""ThisCount""]) % 5 == 0)
                {
                    ChangeHp((Self.MaxHp*-1).ToString());
                }
       }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
fluster,,"
        AddEvent<HurtData>(""Hurt"",(thisData) => {
        if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            else
            {
                Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
                if (int.Parse(Vars[""ThisCount""]) % 3 == 0)
                {
                    SetStatusById(thisData.SourceId);
                    ThrowCard(""1"", ""1"");
                }
            }
        });",,0,0,0,1,Icon/Buff/慌乱,指示物,4,,,
OriginalSin,,"SetStatus(""Self"");
        Vars[""ThisCount""]=""0"";
        Vars[""layersExperienced""]=""0"";
        AddBuff(""SpecialBuff_DragonScaleArmor"",""1"");
        AddBuff(DataId.SpecialBuff_EndlessDesire,""1"");
        AddBuff(""SpecialBuff_Demigod'sBody"",""1"");
        void CalPer()
        {
            
                Vars[""layersExperienced""]=(int.Parse(Vars[""layersExperienced""])+1).ToString();
                if (Vars[""layersExperienced""]==""1"")
                {
                    SetStatus(""AllFriendsExSelf"");
                    ChangeHp(""-99999"");
                    SetStatus(""Self"");
                    ChangeCareer(""enemy_10051"");
                }
                else if (Vars[""layersExperienced""]==""2"")
                {
                    SetStatus(""Self"");
                    //RemoveBuff(DataId.buff_impregnable);
                    ChangeCareer(""enemy_10052"");
                }
                // SetStatus(""AllTarget"");
                // ChangeRound();
            
        }AddEvent(""StartRound"",()=>{
                SetStatus(""Self"");
                AddBuff(DataId.buff_limitdamage,  ""1"");});
        AddBuff(DataId.buff_limitdamage,  ""1"");
        
        AddEvent(""SpecialBuff_OriginalSinOnLevelChange"",()=>
        {
            SetStatus(""Self"");
            ChangeDynamicVarPercent(""MaxChangeHp"", ""-65"");
        });
        AddEvent(""Hurt"",()=>{
            if (Self.CurHp<=Self.MaxHp*(0.65f-0.35f*int.Parse(Vars[""layersExperienced""]))/100)
            {CalPer();}});
        SetStatus(""AllFriendsExSelf"");
        AddEvent(""Dead"", () =>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (Vars[""ThisCount""]==""2""&&Vars[""layersExperienced""]==""0"")
            {
                CalPer();
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
DragonScaleArmor,,"AddBuff(DataId.buff_impregnable,""4"");
        Vars[""ThisCount""]=""0"";
        AddEvent(""Hurt"", () =>
        {
            Vars[""ThisCount""] = (Vars[""ThisCount""].ToInt() + 1).ToString();
           if ((int.Parse(Vars[""ThisCount""])%5==0))
           {
             Self.AddBuff(DataId.buff_impregnable, 1);
           }
        });
        AddEvent(""StartRound"",()=>{RemoveBuff(DataId.buff_impregnable);});",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
SwordOfTheDemonKing,,,,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
Demigod'sBody,,"SetStatus(""Self"");
        AddEvent(""SpecialBuff_Demigod'sBodyOnLevelChange"",()=>
        {
            ChangeDynamicVar(""AttackedDefaultDamage"", ""-5"");
            ChangeDefence(""2000"");
        });
        AddEvent(""StartRound"", () =>
        {
            AddBuff(DataId.buff_extraordinary,""30"");
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
EndlessDesire,,"SetStatus(""AllTarget"");
        Vars[""ThisCount""]=""0"";
        Vars[""SpecialCount""]=""0"";
        AddEvent(""CreateCardItem"", () =>
        {
            Vars[""ThisCount""] = (Vars[""ThisCount""].ToInt() + 1).ToString();
            if (int.Parse(Vars[""ThisCount""]) % 5 == 0)
            {
                ChangePower(""-1"");
            }
        });
        AddEvent(""CostPower"", () =>
        {
            Vars[""SpecialCount""] = (Vars[""SpecialCount""].ToInt() + 1).ToString();
            if (int.Parse(Vars[""SpecialCount""]) % 5 == 0)
            {
                ThrowCard(""1"");
            }
        });",,0,0,0,1,Icon/Buff/烬赎,指示物,4,,,
